TÍTULO,VINÍCULA,NOME DO PROVADOR,PONTOS,PREÇO,PAÍS
Conn Creek 2013 El Adobo Ranch Vineyard Cabernet Sauvignon (Chiles Valley),Conn Creek,Virginie Boone,91,90.0,US
D.R. Stephens 2014 Silver Eagle Vineyard Pinot Noir (Sonoma Coast),D.R. Stephens,Virginie Boone,91,75.0,US
Davis Family 2014 Soul Patch Estate Grown Pinot Noir (Russian River Valley),Davis Family,Virginie Boone,91,55.0,US
Davis Family 2014 Starr Ridge Vineyard Pinot Noir (Russian River Valley),Davis Family,Virginie Boone,91,55.0,US
Prospect 772 2014 The Brat Grenache (Calaveras County),Prospect 772,Jim Gordon,91,36.0,US
Qupé 2013 Doux Sawyer Lindquist Vineyard Marsanne (Edna Valley),Qupé,Matt Kettmann,91,35.0,US
Qupé 2013 Sawyer Lindquist Vineyard Grenache (Edna Valley),Qupé,Matt Kettmann,91,35.0,US
Rex Hill 2014 Sims Vineyard Pinot Noir (Willamette Valley),Rex Hill,Paul Gregutt,91,55.0,US
Ruby 2015 Steve's Reserve Pinot Noir (Chehalem Mountains),Ruby,Paul Gregutt,91,65.0,US
Structure 2014 Wallula Syrah (Horse Heaven Hills),Structure,Sean P. Sullivan,91,35.0,US
Testarossa 2015 Rincon Vineyard Chardonnay (Arroyo Grande Valley),Testarossa,Matt Kettmann,91,49.0,US
Tumwater 2014 Prince Hill Vineyard Reserve Pinot Noir (Dundee Hills),Tumwater,Paul Gregutt,91,55.0,US
Joseph Jewell 2014 Bucher Vineyard Pinot Noir (Russian River Valley),Joseph Jewell,Virginie Boone,91,45.0,US
Le Cadeau 2011 Blanc de Noir Sparkling (Oregon),Le Cadeau,Paul Gregutt,91,50.0,US
Le Cadeau 2015 Diversité Pinot Noir (Willamette Valley),Le Cadeau,Paul Gregutt,91,50.0,US
Le Cadeau 2015 Équinoxe Pinot Noir (Willamette Valley),Le Cadeau,Paul Gregutt,91,50.0,US
Le Vigne 2014 Di Domenico Cabernet Sauvignon (Paso Robles),Le Vigne,Matt Kettmann,91,38.0,US
Paul O'Brien 2014 Bradley Vineyard Pinot Noir (Umpqua Valley),Paul O'Brien,Paul Gregutt,91,45.0,US
Claiborne & Churchill 2014 Twin Creeks Estate Pinot Noir (Edna Valley),Claiborne & Churchill,Matt Kettmann,93,42.0,US
Flying Goat Cellars 2012 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),Flying Goat Cellars,Matt Kettmann,93,60.0,US
Flying Goat Cellars 2012 Solomon Hills Vineyard Pinot Noir (Santa Maria Valley),Flying Goat Cellars,Matt Kettmann,93,42.0,US
Midsummer Cellars 2013 Cañon Creek Vineyard Cabernet Sauvignon (Napa Valley),Midsummer Cellars,Virginie Boone,93,75.0,US
ONX 2013 Reckoning Red (Templeton Gap District),ONX,Matt Kettmann,93,54.0,US
Les Belles Collines 2012 Les Sommets Cabernet Sauvignon (Napa Valley),Les Belles Collines,Virginie Boone,93,85.0,US
Lutum 2014 Gap's Crown Vineyard Chardonnay (Sonoma Coast),Lutum,Virginie Boone,93,50.0,US
Turiya 2011 Stolpman Vineyard Sangiovese (Ballard Canyon),Turiya,Matt Kettmann,93,150.0,US
Iron Horse 2013 Thomas Road Pinot Noir (Green Valley),Iron Horse,Virginie Boone,93,85.0,US
Artesa 2014 Estate Reserve Chardonnay (Carneros),Artesa,Virginie Boone,93,35.0,US
Carlisle 2013 Pagani Ranch Zinfandel (Sonoma Valley),Carlisle,Virginie Boone,93,46.0,US
Sanctuary 2013 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),Sanctuary,Matt Kettmann,93,40.0,US
Terre Rouge 2014 Enigma White (Sierra Foothills),Terre Rouge,Jim Gordon,93,25.0,US
Limerick Lane 2013 Hail Mary Syrah-Grenache (Russian River Valley),Limerick Lane,Virginie Boone,93,48.0,US
Limerick Lane 2013 Headpruned Block Syrah (Russian River Valley),Limerick Lane,Virginie Boone,93,45.0,US
Loring Wine Company 2014 Durell Vineyard Pinot Noir (Sonoma Coast),Loring Wine Company,Jim Gordon,93,50.0,US
Flying Goat Cellars 2012 Rancho Santa Rosa Vineyard Pinot Noir (Sta. Rita Hills),Flying Goat Cellars,Matt Kettmann,93,48.0,US
Four Lanterns 2013 Fire Light Syrah (Paso Robles),Four Lanterns,Matt Kettmann,93,62.0,US
Turiya 2011 Shapeshifter Red (Central Coast),Turiya,Matt Kettmann,93,100.0,US
World's End 2013 If Six Was Nine Reserve Cabernet Sauvignon (Napa Valley),World's End,Virginie Boone,93,53.0,US
W.H. Smith 2012 Reserve Cabernet Sauvignon (Howell Mountain),W.H. Smith,Virginie Boone,93,70.0,US
Alleromb 2014 La Reyna Blanca Vineyard Chardonnay (Columbia Valley (WA)),Alleromb,Sean P. Sullivan,89,38.0,US
Ardor 2015 Art Den Hoed Vineyard Syrah (Yakima Valley),Ardor,Sean P. Sullivan,89,50.0,US
Savage Grace 2016 Orange Oak Ridge Vineyard Gewürztraminer (Columbia Gorge (WA)),Savage Grace,Sean P. Sullivan,89,26.0,US
Silvertip 2014 Unfiltered Estate Pinot Noir (Santa Cruz Mountains),Silvertip,Matt Kettmann,89,32.0,US
Stevens 2016 StevensSteel Chardonnay (Yakima Valley),Stevens,Sean P. Sullivan,89,25.0,US
Kontos 2014 Summit View Vineyard Malbec (Walla Walla Valley (WA)),Kontos,Sean P. Sullivan,89,41.0,US
Midnight 2013 Starlight Sangiovese (Paso Robles),Midnight,Matt Kettmann,89,36.0,US
Quady North 2011 Bomba Grenache (Rogue Valley),Quady North,Sean P. Sullivan,87,25.0,US
Quady North 2011 Steel-Ox Viognier (Rogue Valley),Quady North,Sean P. Sullivan,87,25.0,US
Raptor Ridge 2012 Estate Grüner Veltliner (Chehalem Mountains),Raptor Ridge,Paul Gregutt,87,20.0,US
Walt 2013 Pinpoint Extreme Pinot Noir (Russian River Valley),Walt,Virginie Boone,92,75.0,US
Armida 2013 Tina's Block Maple Vineyard Zinfandel (Dry Creek Valley),Armida,Virginie Boone,92,48.0,US
Foxen 2014 Tinaquaic Vineyard Chardonnay (Santa Maria Valley),Foxen,Matt Kettmann,92,37.0,US
Niner 2013 Estate Grown Cabernet Sauvignon (Paso Robles),Niner,Matt Kettmann,92,40.0,US
Purple Hands 2014 Freedom Hill Vineyard Pinot Noir (Willamette Valley),Purple Hands,Paul Gregutt,92,50.0,US
Stone The Crows 2013 Three Twins Vineyard Fallen Feather Cabernet Sauvignon (Napa Valley),Stone The Crows,Virginie Boone,92,75.0,US
St. Amant 2013 Lodi Native Marian's Vineyard Zinfandel (Mokelumne River),St. Amant,Jim Gordon,92,30.0,US
Stoller 2013 Nancy's Pinot Noir (Dundee Hills),Stoller,Paul Gregutt,92,70.0,US
Y Rousseau 2012 Le Roi Soleil Cabernet Sauvignon (Mount Veeder),Y Rousseau,Virginie Boone,90,80.0,US
Paradise Ridge 2012 Rockpile Vineyard Cabernet Sauvignon (Rockpile),Paradise Ridge,Virginie Boone,90,65.0,US
Seven Hills 2013 McClellan Estate Vineyard Malbec (Walla Walla Valley (WA)),Seven Hills,Sean P. Sullivan,90,30.0,US
Snoqualmie 2013 Eco Made with Organic Grapes Cabernet Sauvignon (Columbia Valley (WA)),Snoqualmie,Sean P. Sullivan,90,13.0,US
Truchard 2012 Estate Cabernet Sauvignon (Carneros),Truchard,Virginie Boone,90,38.0,US
Array 2012 Dijon Clone Chardonnay (Yakima Valley),Array,Sean P. Sullivan,90,32.0,US
Barrister 2012 Sagemoor Cabernet Sauvignon (Columbia Valley (WA)),Barrister,Sean P. Sullivan,90,35.0,US
Bunnell 2011 ALX Syrah (Columbia Valley (WA)),Bunnell,Sean P. Sullivan,90,42.0,US
Chateau Ste. Michelle 2012 Canoe Ridge Vineyard Cabernet Sauvignon (Horse Heaven Hills),Chateau Ste. Michelle,Sean P. Sullivan,90,30.0,US
Cobb 2012 Emmaline Ann Vineyard Pinot Noir (Sonoma Coast),Cobb,Virginie Boone,90,75.0,US
Cooper-Garrod 2012 Gravel Ridge Vineyard Chardonnay (Santa Cruz Mountains),Cooper-Garrod,Matt Kettmann,90,29.0,US
Mosquito Fleet 2011 Reserve 34 Cabernet Sauvignon (Red Mountain),Mosquito Fleet,Sean P. Sullivan,91,90.0,US
Nadia 2012 Quattro Santa Barbara Highlands Vineyard Red (Santa Barbara County),Nadia,Matt Kettmann,91,35.0,US
Nottingham Cellars 2012 Ghielmetti Vineyard Micro-lot Reserve Malbec (Livermore Valley),Nottingham Cellars,Jim Gordon,91,50.0,US
Woodinville Wine Cellars 2012 Little Bear Creek Red (Columbia Valley (WA)),Woodinville Wine Cellars,Sean P. Sullivan,91,20.0,US
Dry Creek Vineyard 2012 DCV2 Estate Four Clones Vineyard Zinfandel (Dry Creek Valley),Dry Creek Vineyard,Virginie Boone,91,38.0,US
Dutton Estate 2013 Cohen Vineyard Dutton Ranch Sauvignon Blanc (Russian River Valley),Dutton Estate,Virginie Boone,91,23.0,US
Failla 2013 Keefer Ranch Pinot Noir (Russian River Valley),Failla,Virginie Boone,91,48.0,US
Friedeman 2013 Dichotomy Pinot Noir (Russian River Valley),Friedeman,Virginie Boone,91,32.0,US
Pech Merle 2013 Treborce Vineyard Zinfandel (Dry Creek Valley),Pech Merle,Virginie Boone,85,33.0,US
"Monte De Oro 2006 Reserve, Vista del Monte Vineyard Syrah (Temecula Valley)",Monte De Oro,Virginie Boone,87,70.0,US
Patton Valley 2010 Lorna Marie Pinot Noir (Willamette Valley),Patton Valley,Paul Gregutt,92,70.0,US
Patton Valley 2010 West Block Pinot Noir (Willamette Valley),Patton Valley,Paul Gregutt,92,48.0,US
Adelsheim 2010 Winderlea Vineyard Pinot Noir (Dundee Hills),Adelsheim,Paul Gregutt,92,105.0,US
St. Supéry 2013 Rutherford Estate Vineyard Cabernet Sauvignon (Rutherford),St. Supéry,Virginie Boone,90,125.0,US
Barnard Griffin 2014 Signature Cabernet Sauvignon (Columbia Valley (WA)),Barnard Griffin,Sean P. Sullivan,90,17.0,US
Beacon Hill 2013 Chehalem Mountain Vineyard Pinot Noir (Chehalem Mountains),Beacon Hill,Paul Gregutt,90,85.0,US
Brian Carter Cellars 2012 Tuttorosso Red (Yakima Valley),Brian Carter Cellars,Sean P. Sullivan,90,34.0,US
Deerfield Ranch NV Tawny Estate Syrah (Sonoma Valley),Deerfield Ranch,Virginie Boone,90,50.0,US
Efeste 2013 Upright Klipsun Vineyard Merlot (Red Mountain),Efeste,Sean P. Sullivan,90,39.0,US
Efeste 2014 Lola Evergreen Vineyard Chardonnay (Ancient Lakes),Efeste,Sean P. Sullivan,90,35.0,US
Iron Hub 2014 Small Lot Chardonnay (Sierra Foothills),Iron Hub,Jim Gordon,90,27.0,US
Finn Hill 2013 Soleil Sauvignon Blanc (Wahluke Slope),Finn Hill,Sean P. Sullivan,86,18.0,US
Kontos 2011 Les Collines Vineyard Syrah (Walla Walla Valley (WA)),Kontos,Paul Gregutt,86,36.0,US
Maryhill 2011 Proprietor's Reserve Cabernet Franc (Columbia Valley (WA)),Maryhill,Paul Gregutt,86,25.0,US
Edna Valley Vineyard 2013 Reserve Chardonnay (Edna Valley),Edna Valley Vineyard,Matt Kettmann,90,35.0,US
Gershon Bachus 2009 Erato De Portola Trail Vineyard Cabernet Franc (Temecula Valley),Gershon Bachus,Matt Kettmann,90,45.0,US
West of Temperance 2012 Rio Vista Vineyard Pinot Noir (Sta. Rita Hills),West of Temperance,Matt Kettmann,90,45.0,US
Carabella 2013 Estate Pinot Noir (Chehalem Mountains),Carabella,Paul Gregutt,90,40.0,US
Casa Dumetz 2014 Larner Grenache (Ballard Canyon),Casa Dumetz,Matt Kettmann,90,42.0,US
Owen Roe 2009 Slide Mountain Vineyard Cabernet Franc (Yakima Valley),Owen Roe,Paul Gregutt,90,72.0,US
Bergevin Lane 2008 Stone Tree Vineyard Intuition Reserve Red (Columbia Valley (WA)),Bergevin Lane,Paul Gregutt,90,58.0,US
Leonesse Cellars 2007 Signature Selection Syrah (Temecula Valley),Leonesse Cellars,Virginie Boone,90,70.0,US
Market Vineyards 2008 Dividend Syrah (Columbia Valley (WA)),Market Vineyards,Paul Gregutt,90,39.0,US
Fullerton 2015 Three Otters Pinot Noir Rosé (Willamette Valley),Fullerton,Paul Gregutt,87,18.0,US
Coelho 2014 Atração Pinot Noir (Willamette Valley),Coelho,Paul Gregutt,87,25.0,US
Coelho 2015 Renovação Estate Vineyards Pinot Gris (Willamette Valley),Coelho,Paul Gregutt,87,20.0,US
Terre Rouge 2013 Vin Doux Naturel Muscat Blanc à Petits Grains (Shenandoah Valley (CA)),Terre Rouge,Jim Gordon,87,20.0,US
Bella Grace 2013 Estate Zinfandel (Amador County),Bella Grace,Jim Gordon,87,20.0,US
Chehalem 2013 Ian's Reserve Chardonnay (Willamette Valley),Chehalem,Paul Gregutt,87,40.0,US
Chehalem 2015 Stoller Vineyards Pinot Blanc (Dundee Hills),Chehalem,Paul Gregutt,87,29.0,US
Cuda Ridge Wines 2013 Melange d'Amis Reserve Red (Livermore Valley),Cuda Ridge Wines,Jim Gordon,87,55.0,US
Folin Cellars 2015 Estate Viognier (Rogue Valley),Folin Cellars,Paul Gregutt,87,27.0,US
Francis Coppola 2014 Director's Chardonnay (Sonoma County),Francis Coppola,Virginie Boone,87,17.0,US
Frank Family 2013 Reserve Winston Hill Vineyard Sangiovese (Rutherford),Frank Family,Virginie Boone,87,65.0,US
Yorkville Cellars 2013 Rennie Vineyard Organic Grapes Petit Verdot (Yorkville Highlands),Yorkville Cellars,Jim Gordon,87,32.0,US
Amalie Robert 2012 i Pinot Noir (Willamette Valley),Amalie Robert,Paul Gregutt,87,38.0,US
Archgate Cellars 2014 Reserve Bottling Cabernet Sauvignon (Lodi),Archgate Cellars,Jim Gordon,87,15.0,US
Carica 2015 Ritchie Vineyard Sauvignon Blanc (Russian River Valley),Carica,Virginie Boone,87,24.0,US
Covington 2006 Rough House Red Red (Walla Walla Valley (WA)),Covington,Paul Gregutt,85,30.0,US
Benton-Lane 2006 First Class Pinot Noir (Willamette Valley),Benton-Lane,Paul Gregutt,88,60.0,US
The Four Graces 2005 Black Family Estate Pinot Noir (Dundee Hills),The Four Graces,Paul Gregutt,88,75.0,US
Brecon Estate 2012 Forty Two Red (Paso Robles),Brecon Estate,Matt Kettmann,88,42.0,US
Callaway 2010 Profonde Winemaker's Reserve Red (Temecula Valley),Callaway,Matt Kettmann,88,48.0,US
Spring Mountain Vineyard 2011 Elivette Red (Napa Valley),Spring Mountain Vineyard,Virginie Boone,88,125.0,US
Dragonette 2012 Vogelzang Sauvignon Blanc (Happy Canyon of Santa Barbara),Dragonette,Matt Kettmann,88,42.0,US
Folin Cellars 2012 Estate Grenache (Rogue Valley),Folin Cellars,Paul Gregutt,88,34.0,US
Grgich Hills 2012 Miljenko's Selection Chardonnay (Carneros),Grgich Hills,Virginie Boone,88,60.0,US
WildAire 2012 Spofford Station Syrah (Walla Walla Valley (OR)),WildAire,Sean P. Sullivan,88,28.0,US
Scott Harvey 2012 Old Vine Reserve Zinfandel (Amador County),Scott Harvey,Jim Gordon,94,38.0,US
Trisaetum 2014 Family Reserve MMXIV Pinot Noir (Willamette Valley),Trisaetum,Paul Gregutt,94,100.0,US
Bergström 2015 Bergström Vineyard Pinot Noir (Dundee Hills),Bergström,Paul Gregutt,94,95.0,US
Shafer 2015 Red Shoulder Ranch Chardonnay (Carneros),Shafer,Virginie Boone,94,52.0,US
Bergström 2015 Old Stones Chardonnay (Willamette Valley),Bergström,Paul Gregutt,94,35.0,US
Big Table Farm 2015 Elusive Queen Chardonnay (Willamette Valley),Big Table Farm,Paul Gregutt,94,85.0,US
Trisaetum 2016 Ribbon Ridge Estate Riesling (Ribbon Ridge),Trisaetum,Paul Gregutt,94,32.0,US
Trisaetum 2016 Wichmann Dundee Estate Riesling (Dundee Hills),Trisaetum,Paul Gregutt,94,32.0,US
Horsepower 2014 The Tribe Vineyard Syrah (Walla Walla Valley (OR)),Horsepower,Sean P. Sullivan,94,120.0,US
Tres Sabores 2014 Perspective Estate Zinfandel (Rutherford),Tres Sabores,Virginie Boone,94,38.0,US
Williams Selyem 2015 Terra De Promissio Vineyard Pinot Noir (Sonoma Coast),Williams Selyem,Virginie Boone,94,58.0,US
Cayuse 2014 Cailloux Vineyard Syrah (Walla Walla Valley (OR)),Cayuse,Sean P. Sullivan,94,85.0,US
Cobb 2014 Emmaline Ann Vineyard Pinot Noir (Sonoma Coast),Cobb,Virginie Boone,94,75.0,US
Dion 2014 Old Vines Pinot Noir (Chehalem Mountains),Dion,Paul Gregutt,94,50.0,US
Drouhin Oregon Roserock 2014 Zéphirine Pinot Noir (Eola-Amity Hills),Drouhin Oregon Roserock,Paul Gregutt,94,60.0,US
Stevens 2012 StevensSweets Late Harvest Viognier (Yakima Valley),Stevens,Paul Gregutt,90,15.0,US
Sextant 2011 Caverio G-S-M (Paso Robles),Sextant,Matt Kettmann,90,40.0,US
Landmark 2012 Charles Heintz Vineyard Chardonnay (Sonoma Coast),Landmark,Virginie Boone,90,45.0,US
Barrage Cellars 2010 Outcast Cabernet Franc (Yakima Valley),Barrage Cellars,Paul Gregutt,90,35.0,US
Berryessa Gap 2011 California Series Zinfandel (Yolo County),Berryessa Gap,Jim Gordon,90,20.0,US
Bonny Doon 2010 Le Cigare Volant Red (Central Coast),Bonny Doon,Matt Kettmann,90,38.0,US
Chateau Ste. Michelle 2013 Horse Heaven Vineyard Sauvignon Blanc (Horse Heaven Hills),Chateau Ste. Michelle,Sean P. Sullivan,90,15.0,US
Daou 2012 Reserve Zinfandel (Paso Robles),Daou,Matt Kettmann,90,56.0,US
Wilridge 2014 Dessert Wine Estate Wilridge Vineyard Pinot Gris (Naches Heights),Wilridge,Sean P. Sullivan,84,40.0,US
Wilridge 2014 Vintage Estate Dessert Wine Wilridge Vineyard Red (Naches Heights),Wilridge,Sean P. Sullivan,84,20.0,US
Belden Barns 2013 Estate Grown Pinot Noir (Sonoma Mountain),Belden Barns,Virginie Boone,84,38.0,US
In Re 2011 You be the judge! Cabernet Sauvignon (Napa Valley),In Re,Virginie Boone,84,65.0,US
Madrigal 2012 Las Viñas del Señor Cabernet Sauvignon (Napa Valley),Madrigal,Virginie Boone,84,100.0,US
Whitman Cellars 2004 Narcissa Red Red (Columbia Valley (WA)),Whitman Cellars,Paul Gregutt,87,24.0,US
Lost River 2005 Cedarosa Red (Columbia Valley (WA)),Lost River,Paul Gregutt,86,26.0,US
Cambridge & Sunset 2014 California Series Zinfandel (California),Cambridge & Sunset,Jim Gordon,87,14.0,US
Coelho 2014 Apreciação Estate Vineyard Chardonnay (Willamette Valley),Coelho,Paul Gregutt,87,35.0,US
St. Francis 2014 Reserve Cabernet Sauvignon (Alexander Valley),St. Francis,Virginie Boone,93,52.0,US
Tamber Bey 2014 Vermejo Deux Chevaux Vineyard Red (Yountville),Tamber Bey,Virginie Boone,93,115.0,US
